judge,n,rho_faith_help,p_faith_help,rho_faith_plaus,p_faith_plaus,rho_help_plaus,p_help_plaus,p_holm_faith_help,p_holm_faith_plaus,p_holm_help_plaus,sig_holm_faith_help,sig_holm_faith_plaus,sig_holm_help_plaus
Aggregate (Majority Vote),240,0.227,0.0004,0.315,0.0,0.562,0.0,0.0012,0.0,0.0,True,True,True
gpt-5.4,240,0.266,0.0,0.271,0.0,0.82,0.0,0.0,0.0,0.0,True,True,True
gemini-3.1-pro,240,0.217,0.0007,0.214,0.0008,0.611,0.0,0.0014,0.0014,0.0,True,True,True
claude-sonnet-4.6,240,0.28,0.0,0.298,0.0,0.792,0.0,0.0,0.0,0.0,True,True,True
grok-4.20,240,0.319,0.0,0.378,0.0,0.743,0.0,0.0,0.0,0.0,True,True,True
